valid_time,sshf,u10,v10,latitude,longitude,classification_hf,wind_dir,dir_bin
2023-01-08 01:00:00,99456.0,4.9375,13.0859375,54.75,6.5,stable,200.67216490663208,8
2023-01-08 02:00:00,99840.0,6.2109375,10.9921875,54.75,6.5,stable,209.4678373198371,8
2023-01-08 03:00:00,80384.0,7.3828125,9.796875,54.75,6.5,stable,217.00125953913104,8
2023-01-08 04:00:00,56192.0,7.0273438,8.8671875,54.75,6.5,stable,218.39721235856072,8
2023-01-08 05:00:00,44928.0,4.9570312,9.125,54.75,6.5,stable,208.5124151051934,8
2023-01-08 06:00:00,41856.0,4.6992188,10.6328125,54.75,6.5,stable,203.84324534108717,8
2023-01-08 07:00:00,35744.0,5.90625,11.4609375,54.75,6.5,stable,207.26374556006147,8
2023-01-08 08:00:00,23968.0,5.1484375,10.5859375,54.75,6.5,stable,205.93582629854166,8
2023-01-08 09:00:00,14600.0,3.5566406,10.1328125,54.75,6.5,stable,199.34119117033794,8
2023-01-08 10:00:00,10048.0,3.6777344,10.921875,54.75,6.5,stable,198.60997703832692,8
2023-01-08 11:00:00,5880.0,3.4589844,10.6328125,54.75,6.5,stable,198.0203427409439,8
2023-01-08 12:00:00,6788.0,3.6933594,10.828125,54.75,6.5,stable,198.83396832630297,8
2023-01-08 13:00:00,4840.0,3.6386719,11.125,54.75,6.5,stable,198.11145238163587,8
2023-01-08 14:00:00,4480.0,3.2050781,10.84375,54.75,6.5,stable,196.46605443071644,8
2023-01-08 15:00:00,7240.0,3.3105469,10.671875,54.75,6.5,stable,197.23453300916086,8
2023-01-08 16:00:00,7656.0,3.5253906,10.59375,54.75,6.5,stable,198.40642284109242,8
2023-01-08 17:00:00,4820.0,2.8769531,10.75,54.75,6.5,stable,194.98259018021568,7
2023-01-08 18:00:00,3500.0,1.6425781,10.796875,54.75,6.5,stable,188.65033945987307,7
2023-01-08 19:00:00,9552.0,0.020019531,10.7890625,54.75,6.5,stable,180.1063144566741,7
2023-01-08 20:00:00,7952.0,-1.1074219,11.1640625,54.75,6.5,stable,174.33506310594473,7
2023-01-08 21:00:00,550.0,-1.3828125,11.265625,54.75,6.5,stable,173.00216608263773,7
