turbineName,grossAnnualYield_MWh_per_year,blockageOnAnnualYield_MWh_per_year,internalWakesOnAnnualYield_MWh_per_year,hysteresisAdjustmentOnAnnualYield_MWh_per_year,largeWindFarmCorrectionOnAnnualYield_MWh_per_year,neighborsWakesOnAnnualYield_MWh_per_year,fullAnnualYield_MWh_per_year,freeMeanWindSpeed_m_per_s,fullMeanWindSpeed_m_per_s,ambientMeanTurbulenceIntensity_percentage,fullMeanTurbulenceIntensity_percentage,airDensityAtHubHeight_kg_per_m3,farm_name,easting,northing,turbineInteractionEfficiency
T31,14655.118623325987,13956.555629277067,13304.974082784356,13304.974082784356,13304.974082784356,11919.837743255246,11919.837743255246,7.343394754759646,6.594519939964044,7.499999999999998,8.456645940449205,1.225,Farm,95226.27882,101980.8833,0.8133566195965757
T32,14655.118623325987,13935.748956012447,11656.756235361234,11656.756235361234,11656.756235361234,11480.27898255497,11480.27898255497,7.343394754759646,6.457684471893407,7.499999999999998,8.60385389076207,1.225,Farm,100711.8248,99904.4672,0.7833630881896959
T33,14655.118623325987,13939.018764401975,12494.541531237312,12494.541531237312,12494.541531237312,12388.551991508544,12388.551991508544,7.343394754759646,6.729703970160347,7.499999999999998,8.242101184706543,1.225,Farm,105748.2725,103027.5292,0.8453395915738385
T34,14655.118623325987,13943.386814371761,12066.693127953198,12066.693127953198,12066.693127953198,11677.837254454536,11677.837254454536,7.343394754759646,6.518903766277532,7.499999999999998,8.543456594469925,1.225,Farm,96994.98066,100455.6463,0.7968435844570629
T35,14655.118623325987,13931.709318149055,11387.487651416997,11387.487651416997,11387.487651416997,11249.789853567123,11249.789853567123,7.343394754759646,6.391278240816566,7.499999999999998,8.688205817992921,1.225,Farm,103020.6881,100388.4449,0.7676355369557546
T37,14655.118623325987,13940.461264936395,11687.24076431275,11687.24076431275,11687.24076431275,11485.236393963925,11485.236393963925,7.343394754759646,6.46134468901144,7.499999999999998,8.600974417886658,1.225,Farm,99241.13422,99616.60927,0.7837013598568433
T38,14655.118623325987,13940.680722324227,11803.679962398279,11803.679962398279,11803.679962398279,11670.849943881989,11670.849943881989,7.343394754759646,6.509900408400892,7.499999999999998,8.528048573106295,1.225,Farm,105070.8503,101675.5023,0.7963668015150657
T39,14655.118623325987,13955.336556836843,12469.083419143055,12469.083419143055,12469.083419143055,11679.906077223706,11679.906077223706,7.343394754759646,6.526643013320758,7.499999999999998,8.547484200937822,1.225,Farm,95581.83461,101018.9576,0.7969847517053359
T40,14655.118623325987,13941.114752358606,11593.630722579694,11593.630722579694,11593.630722579694,11461.829767978574,11461.829767978574,7.343394754759646,6.454853032553429,7.499999999999998,8.6090147520817,1.225,Farm,101699.5479,99607.37226,0.7821041959861875
T41,14655.118623325987,13940.723840063292,11862.966190045036,11862.966190045036,11862.966190045036,11655.06232277069,11655.06232277069,7.343394754759646,6.510378432130879,7.499999999999998,8.548120016768932,1.225,Farm,97685.26491,99675.93152,0.7952895245910719
