turbineName,grossAnnualYield_MWh_per_year,blockageOnAnnualYield_MWh_per_year,internalWakesOnAnnualYield_MWh_per_year,hysteresisAdjustmentOnAnnualYield_MWh_per_year,largeWindFarmCorrectionOnAnnualYield_MWh_per_year,neighborsWakesOnAnnualYield_MWh_per_year,fullAnnualYield_MWh_per_year,freeMeanWindSpeed_m_per_s,fullMeanWindSpeed_m_per_s,ambientMeanTurbulenceIntensity_percentage,fullMeanTurbulenceIntensity_percentage,airDensityAtHubHeight_kg_per_m3,farm_name,easting,northing,turbineInteractionEfficiency
T51,14655.118623325987,13949.652031939557,13255.779695812267,13255.779695812267,13255.779695812267,11822.143235836278,11822.143235836278,7.343394754759646,6.569390220928254,7.499999999999998,8.500372657127203,1.225,Farm,94660.75552,100894.7398,0.8066903816813484
T52,14655.118623325987,13938.073010907223,11510.806001072473,11510.806001072473,11510.806001072473,11393.977413496339,11393.977413496339,7.343394754759646,6.42580968527093,7.499999999999998,8.637947329891007,1.225,Farm,101231.5746,98805.46409,0.7774742536277383
T53,14655.118623325987,13953.198469253868,12384.98128933974,12384.98128933974,12384.98128933974,12272.130316625386,12272.130316625386,7.343394754759646,6.689211420237349,7.499999999999998,8.289133358379996,1.225,Farm,106929.5862,102779.1313,0.8373954951884395
T54,14655.118623325987,13944.452691296883,12017.914355503499,12017.914355503499,12017.914355503499,11677.511034914867,11677.511034914867,7.343394754759646,6.520474984882424,7.499999999999998,8.541906888947173,1.225,Farm,96855.50564,99262.17975,0.7968213246891243
T55,14655.118623325987,13931.653717883682,11373.367397219443,11373.367397219443,11373.367397219443,11261.30818307096,11261.30818307096,7.343394754759646,6.391478875445286,7.499999999999998,8.670286394431821,1.225,Farm,103881.3226,99561.59932,0.7684214964419851
T57,14655.118623325987,13936.593948336402,11747.687145462103,11747.687145462103,11747.687145462103,11545.89390491784,11545.89390491784,7.343394754759646,6.472388636198964,7.499999999999998,8.583434869175495,1.225,Farm,99530.03764,98472.02412,0.787840358149042
T58,14655.118623325987,13936.20509980099,11796.812739084678,11796.812739084678,11796.812739084678,11681.714648395193,11681.714648395193,7.343394754759646,6.508849652548096,7.499999999999998,8.51482483165755,1.225,Farm,106150.4168,101216.7212,0.7971081605441158
T59,14655.118623325987,13942.411641713867,12490.434594287852,12490.434594287852,12490.434594287852,11858.169821030366,11858.169821030366,7.343394754759646,6.577492600579685,7.499999999999998,8.488104695589898,1.225,Farm,95224.39096,99906.84185,0.809148675341063
T60,14655.118623325987,13932.32783251416,11460.33678617266,11460.33678617266,11460.33678617266,11333.080347396251,11333.080347396251,7.343394754759646,6.4082119240327975,7.499999999999998,8.658130618756033,1.225,Farm,102365.333,98656.19306,0.773318909159686
T62,14655.118623325987,13937.490748697737,11946.658004452958,11946.658004452958,11946.658004452958,11746.221115838318,11746.221115838318,7.343394754759646,6.534749366145501,7.499999999999998,8.518464294741934,1.225,Farm,97745.46882,98527.85377,0.8015097944783819
T63,14655.118623325987,13937.666499871993,11465.36591277766,11465.36591277766,11465.36591277766,11342.517031266347,11342.517031266347,7.343394754759646,6.407251676671161,7.499999999999998,8.645434776179695,1.225,Farm,105010.4035,99827.44364,0.7739628264224965
T65,14655.118623325987,13932.403759619552,11617.919399524118,11617.919399524118,11617.919399524118,11469.903911604206,11469.903911604206,7.343394754759646,6.455961094164075,7.499999999999998,8.604496051995561,1.225,Farm,100637.7633,98094.82353,0.7826551395734186
T66,14655.118623325987,13953.52800702656,11856.644025937367,11856.644025937367,11856.644025937367,11750.514598114907,11750.514598114907,7.343394754759646,6.535460959415546,7.499999999999998,8.481894736222536,1.225,Farm,107126.1357,101873.7482,0.8018027625796263
T67,14655.118623325987,13942.061829281076,12230.486923767186,12230.486923767186,12230.486923767186,11815.168353054924,11815.168353054924,7.343394754759646,6.561335360952382,7.499999999999998,8.50170886099543,1.225,Farm,95969.24665,98991.13746,0.806214446756451
T68,14655.118623325987,13932.560428217124,11479.732220208394,11479.732220208394,11479.732220208394,11369.432957227613,11369.432957227613,7.343394754759646,6.419998603050911,7.499999999999998,8.636611788086046,1.225,Farm,103551.1977,98695.04888,0.7757994492880682
T70,14655.118623325987,13936.720626878907,11901.119459371748,11901.119459371748,11901.119459371748,11761.943946796879,11761.943946796879,7.343394754759646,6.5374333308146655,7.499999999999998,8.499150086128896,1.225,Farm,98779.53596,97925.6106,0.8025826504110206
T71,14655.118623325987,13937.125767241569,11730.090819190002,11730.090819190002,11730.090819190002,11597.718389087166,11597.718389087166,7.343394754759646,6.483328769846587,7.499999999999998,8.54087034567578,1.225,Farm,106121.421,100288.1136,0.7913766300483931
T72,14655.118623325987,13937.282124846508,13279.614383543863,13279.614383543863,13279.614383543863,12072.6852569488,12072.6852569488,7.343394754759646,6.640515275943507,7.499999999999998,8.399570513727252,1.225,Farm,94296.07591,99858.44862,0.8237862529296196
T73,14655.118623325987,13928.655350875759,11654.874489440814,11654.874489440814,11654.874489440814,11552.213841676687,11552.213841676687,7.343394754759646,6.476406780172846,7.499999999999998,8.56939293712131,1.225,Farm,101833.6391,97892.68103,0.7882716024754295
T74,14655.118623325987,14020.330495449187,12431.503468786337,12431.503468786337,12431.503468786337,12356.332599348865,12356.332599348865,7.343394754759646,6.7155496088919895,7.499999999999998,8.25480280586613,1.225,Farm,108015.6716,102707.0572,0.8431410838041097
T75,14655.118623325987,13936.912943391835,12156.77248204035,12156.77248204035,12156.77248204035,11921.496163473377,11921.496163473377,7.343394754759646,6.5886483921716215,7.499999999999998,8.45044788376112,1.225,Farm,96882.00611,98177.27719,0.8134697828032856
T76,14655.118623325987,13934.135853424992,11581.194002830624,11581.194002830624,11581.194002830624,11460.705207386281,11460.705207386281,7.343394754759646,6.441735458128942,7.499999999999998,8.593265571313465,1.225,Farm,104757.5621,98929.45422,0.7820274609817706
T78,14655.118623325987,13924.293424342384,11825.90138869605,11825.90138869605,11825.90138869605,11713.477223133825,11713.477223133825,7.343394754759646,6.520659908239018,7.499999999999998,8.513560476795194,1.225,Farm,99935.007,97478.58334,0.7992754971283504
T79,14655.118623325987,13937.490897501077,11804.835766518583,11804.835766518583,11804.835766518583,11705.212058852576,11705.212058852576,7.343394754759646,6.526123222947592,7.499999999999998,8.490289657060348,1.225,Farm,107182.2411,100939.6241,0.7987115191426593
T80,14655.118623325987,13933.446626951498,12608.058844882677,12608.058844882677,12608.058844882677,12038.317146935533,12038.317146935533,7.343394754759646,6.62788111747144,7.499999999999998,8.4182800116345,1.225,Farm,95042.3094,98857.01687,0.821441126227024
T81,14655.118623325987,13928.23511517064,11693.51645071084,11693.51645071084,11693.51645071084,11589.024214153524,11589.024214153524,7.343394754759646,6.485947471341137,7.499999999999998,8.545295766292087,1.225,Farm,103088.417,97879.38267,0.7907833782872096
T83,14655.118623325987,13928.582038823517,12177.274448147338,12177.274448147338,12177.274448147338,12012.546136072518,12012.546136072518,7.343394754759646,6.613615887846927,7.499999999999998,8.403905839274985,1.225,Farm,97945.33288,97492.5084,0.819682627266668
T84,14655.118623325987,13935.194151999429,11732.788509659536,11732.788509659536,11732.788509659536,11621.860354379549,11621.860354379549,7.343394754759646,6.492231318571035,7.499999999999998,8.52695112550187,1.225,Farm,105952.27,99362.16939,0.7930239701971079
